BOROUGH,POLICE_PRECINCT,CREATED_DATE
BROOKLYN,Precinct 68,12/2/14
BROOKLYN,Precinct 78,12/5/14
BRONX,Precinct 45,12/15/14
QUEENS,Precinct 108,12/1/14
BROOKLYN,Unspecified,12/5/14
BROOKLYN,Precinct 61,12/29/14
STATEN ISLAND,Unspecified,12/4/14
BRONX,Precinct 45,12/20/14
BROOKLYN,Precinct 61,12/30/14
BROOKLYN,Precinct 63,12/23/14
QUEENS,Precinct 111,12/19/14
BRONX,Precinct 40,12/16/14
QUEENS,Precinct 102,12/18/14
BROOKLYN,Precinct 72,12/10/14
BROOKLYN,Precinct 61,12/29/14
BROOKLYN,Precinct 66,12/11/14
MANHATTAN,Precinct 9,12/16/14
BRONX,Precinct 45,12/20/14
BROOKLYN,Precinct 75,12/2/14
MANHATTAN,Precinct 33,12/18/14
BRONX,Precinct 45,12/17/14
BROOKLYN,Precinct 61,12/29/14
BRONX,Precinct 48,12/10/14
BRONX,Precinct 45,12/20/14
BROOKLYN,Precinct 61,12/29/14
BROOKLYN,Precinct 72,12/8/14
BRONX,Precinct 48,12/6/14
BRONX,Precinct 47,12/10/14
BRONX,Precinct 47,12/10/14
BROOKLYN,Unspecified,12/4/14
BRONX,Precinct 45,12/15/14
BRONX,Precinct 47,12/10/14
BRONX,Precinct 45,12/20/14
BROOKLYN,Precinct 66,12/11/14
BROOKLYN,Precinct 88,12/11/14
BROOKLYN,Precinct 61,12/29/14
BROOKLYN,Precinct 72,12/30/14
QUEENS,Precinct 105,12/15/14
MANHATTAN,Precinct 33,12/2/14
MANHATTAN,Precinct 14,12/17/14
MANHATTAN,Precinct 32,12/27/14
QUEENS,Precinct 110,12/22/14
BROOKLYN,Precinct 94,12/13/14
BROOKLYN,Precinct 75,12/3/14
BRONX,Precinct 45,12/15/14
BROOKLYN,Precinct 94,12/15/14
BRONX,Precinct 44,12/5/14
BRONX,Precinct 48,12/8/14
QUEENS,Precinct 115,12/26/14
BRONX,Precinct 40,12/16/14
BRONX,Precinct 40,12/16/14
BROOKLYN,Precinct 72,12/15/14
BROOKLYN,Precinct 78,12/10/14
BROOKLYN,Precinct 72,12/15/14
BRONX,Precinct 43,12/29/14
QUEENS,Precinct 114,12/18/14
MANHATTAN,Precinct 9,12/30/14
BROOKLYN,Precinct 94,12/4/14
BROOKLYN,Precinct 62,12/29/14
BRONX,Precinct 40,12/16/14
BROOKLYN,Precinct 60,12/31/14
BRONX,Precinct 45,12/20/14
BROOKLYN,Precinct 63,12/3/14
BROOKLYN,Precinct 78,12/30/14
BROOKLYN,Precinct 72,12/12/14
BRONX,Precinct 48,12/10/14
BRONX,Precinct 45,12/15/14
BRONX,Precinct 49,12/4/14
BROOKLYN,Precinct 75,12/10/14
BRONX,Precinct 40,12/16/14
BROOKLYN,Precinct 78,12/11/14
BROOKLYN,Precinct 66,12/10/14
BRONX,Precinct 43,12/4/14
BROOKLYN,Precinct 90,12/3/14
BROOKLYN,Precinct 90,12/3/14
BRONX,Precinct 40,12/5/14
QUEENS,Precinct 101,12/7/14
BROOKLYN,Precinct 61,12/29/14
MANHATTAN,Precinct 10,12/4/14
BROOKLYN,Precinct 72,12/22/14
QUEENS,Precinct 105,12/15/14
BRONX,Precinct 48,12/10/14
QUEENS,Precinct 103,12/15/14
BROOKLYN,Precinct 60,12/31/14
MANHATTAN,Precinct 28,12/2/14
BROOKLYN,Precinct 63,12/3/14
BROOKLYN,Precinct 73,12/26/14
BRONX,Precinct 44,12/11/14
BRONX,Precinct 49,12/4/14
BRONX,Precinct 45,12/15/14
